uid,article_links,body,title,newspaper_uid,host,n_tokens_title,n_tokens_body
fab2167f45f6f4f5b87e48916cc70bac,https://www.eluniversal.com.mx/espectaculos/brian-may-va-al-hospital-tras-destrozarse-los-gluteos-en-su-casa,"El guitarrista de Queen, Brian May, ha sido hospitalizado después de ""destrozar su 'Gluteus Maximus' en pedazos mientras trabajaba en el jardín de su casa.","Brian May va al hospital tras ""destrozarse los glúteos"" en su casa ",eluniversal,www.eluniversal.com.mx,8,14
ed82d73892ba360cb05c620df431aac0,https://www.eluniversal.com.mx/menu/que-es-el-cedron-o-hierbaluisa-y-cuales-son-sus-beneficios,"El cedrón, también llamado hierbaluisa o verbena de indias, es una planta originaria de América del Sur. Su arbusto llega a crecer hasta 3 metros de altura y sus hojas desprenden un fuerte olor a limón y menta, es común que florezca en verano. Esta hierba es utilizada para tratar ciertos malestares estomacales entre muchos otros. Conoce más de sus propiedades medicinales en Menú.",Qué es el cedrón y cuáles son sus beneficios,eluniversal,www.eluniversal.com.mx,3,33
a121ab25d882d1e0ad47f0189ad36f5f,https://www.eluniversal.com.mx/estados/asesinan-tres-mujeres-en-torreon-dos-de-ellas-enfermeras,Torreón.- La secretaría de Seguridad Pública en Coahuila informó que fueron halladas muertas en Torreón tres mujeres que se desempeñaban en el sector de salud federal.,"Asesinan a tres mujeres en Torreón, dos de ellas enfermeras",eluniversal,www.eluniversal.com.mx,6,14
be65e8cc6ceab9581d8c783792dbdfa3,https://www.eluniversal.com.mx/nacion/lopez-gatell-llama-la-atencion-la-sincronia-dice-de-notas-que-cuestionan-conteo-de-muertos,"El subsecretario de Prevención y Promoción de la Salud, Hugo López-Gatell, publicó un video en redes sociales en el que dijo que ""llama la atención la sincronía"" de cuatro medios extranjeros que publicaron hoy cuestionamientos sobre las muertes de personas con Covid-19 en nuestro país. ","""Llama la atención la sincronía"": López-Gatell sobre notas que cuestionan conteo de muertos",eluniversal,www.eluniversal.com.mx,7,22
6805a333c73ac9e01a374dd5e4dac503,https://www.eluniversal.com.mx/espectaculos,espectaculos,"Con brasier de Ninel, Albertano hace cubrebocas",eluniversal,www.eluniversal.com.mx,5,1
33c25e06dfb011bcbc5e6627e2720fca,https://www.eluniversal.com.mx/mundo/el-halo-solar-doble-que-sorprendio-cuba-y-como-se-forma-este-fenomeno, EPA,El halo solar doble que sorprendió a Cuba (y cómo se forma este fenómeno),eluniversal,www.eluniversal.com.mx,8,1
8f2fddbdec6b5d6e90f354aac0d6d590,https://www.eluniversal.com.mx/estados/casos-confirmados-de-covid-19-en-mexico-estado-por-estado-al-7-de-mayo," Al 7 de mayo, la Secretaría de Salud federal informó hay registro de 2 mil 961 muertos y 29 mil 616 casos confirmados de coronavirus en México.","Casos confirmados de Covid-19 en México, estado por estado al 7 de mayo",eluniversal,www.eluniversal.com.mx,4,13
9727c59ed5a7267f8118d3f02cf16830,https://www.eluniversal.com.mx/nacion/victoria-asi-se-siente-ganarle-al-covid-19," Entre aplausos y porras, médicos y enfermeras del Hospital Juárez de México dijeron adiós a Janet Orozco, Candelaria Valle y José Luis Chantes.",¡Victoria! Así se siente ganarle al Covid-19,eluniversal,www.eluniversal.com.mx,2,16
7a539b3196f388c3f0c9af775c8094c3,https://www.eluniversal.com.mx/nacion/politica/retira-amlo-su-nombre-de-cartas-en-creditos-microempresarios,"Después de que ayer la Comisión de Quejas y Denuncias del INE determinó que se deben dejar de enviar las dos primeras versiones de cartas de los créditos a microempresarios para enfrentar la situación económica generada por el coronavirus que contenía el nombre del presidente Andrés Manuel López Obrador, esta mañana el Ejecutivo federal informó que se decidió retirar su nombre de estos documentos porque no los quiere testerear. ",Retira AMLO su nombre de cartas en créditos a microempresarios,eluniversal,www.eluniversal.com.mx,6,37
a68b8fb0a2caa5c258f1947e6b5f0748,https://www.eluniversal.com.mx/estados/casos-de-covid-19-en-yucatan-quintana-roo-y-tabasco-al-7-de-mayo, De acuerdo con el reporte de la Secretaría de Salud federal del 7 de mayo se han registrado mil 407 casos confirmados y 188 fallecimientos por Covid-19 en Tabasco.,"Casos de Covid-19 en Yucatán, Quintana Roo y Tabasco al 7 de mayo",eluniversal,www.eluniversal.com.mx,6,12
